Date/Time,Energy Produced (Wh),Energy Consumed (Wh),Exported to Grid (Wh),Imported from Grid (Wh),Stored in batteries (Wh),Discharged from batteries (Wh)
10/01/2025 00:00,0,784,0,209,48,623
10/01/2025 01:00,0,554,0,590,36,0
10/01/2025 02:00,0,617,0,644,27,0
10/01/2025 03:00,0,491,0,518,27,0
10/01/2025 04:00,0,475,0,607,132,0
10/01/2025 05:00,0,478,0,509,31,0
10/01/2025 06:00,3,513,0,640,130,0
10/01/2025 07:00,943,901,0,880,922,0
10/01/2025 08:00,1819,696,0,717,1840,0
10/01/2025 09:00,2355,507,0,525,2373,0
10/01/2025 10:00,3648,450,0,504,3702,0
10/01/2025 11:00,5170,459,0,509,5220,0
10/01/2025 12:00,5444,510,3897,0,1037,0
10/01/2025 13:00,5169,457,4523,0,189,0
10/01/2025 14:00,3738,472,3187,0,79,0
10/01/2025 15:00,1986,489,1409,0,88,0
10/01/2025 16:00,865,461,867,0,0,463
10/01/2025 17:00,208,689,199,0,0,680
10/01/2025 18:00,19,652,17,0,0,650
10/01/2025 19:00,0,1142,0,9,0,1133
10/01/2025 20:00,0,1210,15,21,21,1225
10/01/2025 21:00,0,2107,61,0,0,2168
10/01/2025 22:00,0,986,28,0,0,1014
10/01/2025 23:00,0,545,0,18,0,527
10/02/2025 00:00,0,469,0,19,0,450
10/02/2025 01:00,0,595,0,18,0,577
10/02/2025 02:00,0,479,0,14,0,465
10/02/2025 03:00,0,466,0,13,0,453
10/02/2025 04:00,0,603,0,11,0,592
10/02/2025 05:00,0,459,0,10,0,449
10/02/2025 06:00,2,580,21,56,58,601
10/02/2025 07:00,908,932,0,913,915,26
10/02/2025 08:00,1614,646,0,666,1634,0
10/02/2025 09:00,2295,468,0,482,2309,0
10/02/2025 10:00,3575,475,0,478,3578,0
10/02/2025 11:00,5088,448,0,518,5158,0
10/02/2025 12:00,5369,494,3452,0,1423,0
10/02/2025 13:00,5074,461,4447,0,166,0
10/02/2025 14:00,3715,471,3173,0,71,0
10/02/2025 15:00,1954,484,1374,0,96,0
10/02/2025 16:00,936,452,944,0,4,464
10/02/2025 17:00,262,714,246,0,0,698
10/02/2025 18:00,23,684,18,0,0,679
10/02/2025 19:00,0,1016,0,18,0,998
10/02/2025 20:00,0,3270,2,20,20,3272
10/02/2025 21:00,0,1216,11,0,0,1227
10/02/2025 22:00,0,1426,0,9,0,1417
10/02/2025 23:00,0,755,0,5,0,750
10/03/2025 00:00,0,583,0,11,0,572
10/03/2025 01:00,0,569,0,11,0,558
10/03/2025 02:00,0,556,0,17,0,539
10/03/2025 03:00,0,448,0,19,0,429
10/03/2025 04:00,0,533,0,501,52,84
10/03/2025 05:00,0,473,0,498,25,0
10/03/2025 06:00,0,482,0,503,21,0
10/03/2025 07:00,848,880,0,867,835,0
10/03/2025 08:00,1389,844,0,846,1391,0
10/03/2025 09:00,2218,602,0,608,2224,0
10/03/2025 10:00,3423,566,0,612,3469,0
10/03/2025 11:00,4943,738,0,767,4972,0
10/03/2025 12:00,5215,495,2431,0,2289,0
10/03/2025 13:00,4852,503,4236,0,113,0
10/03/2025 14:00,3479,501,2932,0,46,0
10/03/2025 15:00,1821,496,1255,0,70,0
10/03/2025 16:00,786,484,777,0,7,482
10/03/2025 17:00,191,697,173,0,0,679
10/03/2025 18:00,13,676,17,0,0,680
10/03/2025 19:00,0,1015,0,17,0,998
10/03/2025 20:00,0,1339,31,19,19,1370
10/03/2025 21:00,0,2075,62,0,0,2137
10/03/2025 22:00,0,1520,4,0,0,1524
10/03/2025 23:00,0,632,0,16,0,616
10/04/2025 00:00,0,597,0,11,0,586
10/04/2025 01:00,0,459,2,0,0,461
10/04/2025 02:00,0,571,0,7,0,564
10/04/2025 03:00,0,477,0,18,0,459
10/04/2025 04:00,0,584,0,8,0,576
10/04/2025 05:00,0,473,0,121,72,424
10/04/2025 06:00,4,540,0,563,27,0
10/04/2025 07:00,817,708,0,700,809,0
10/04/2025 08:00,1255,1322,0,1344,1277,0
10/04/2025 09:00,2078,689,0,706,2095,0
10/04/2025 10:00,3208,614,0,634,3228,0
10/04/2025 11:00,4718,564,0,607,4761,0
10/04/2025 12:00,5018,575,1497,0,2946,0
10/04/2025 13:00,4640,5648,0,1139,131,0
10/04/2025 14:00,3367,5028,0,1709,48,0
10/04/2025 15:00,1829,1109,675,0,45,0
10/04/2025 16:00,820,782,817,0,0,779
10/04/2025 17:00,233,823,211,0,0,801
10/04/2025 18:00,16,794,0,0,0,778
10/04/2025 19:00,0,1639,0,16,0,1623
10/04/2025 20:00,0,4466,13,18,18,4479
10/04/2025 21:00,0,1523,32,0,0,1555
10/04/2025 22:00,0,1223,12,0,0,1235
10/04/2025 23:00,0,809,0,30,12,791
10/05/2025 00:00,0,733,0,775,54,12
10/05/2025 01:00,0,705,0,734,29,0
10/05/2025 02:00,0,726,0,752,26,0
10/05/2025 03:00,0,599,0,625,26,0
10/05/2025 04:00,0,725,0,877,152,0
10/05/2025 05:00,0,599,0,624,25,0
10/05/2025 06:00,0,664,0,817,154,1
10/05/2025 07:00,701,934,0,917,684,0
10/05/2025 08:00,1109,992,0,1001,1118,0
10/05/2025 09:00,1969,660,0,677,1986,0
10/05/2025 10:00,3131,584,0,607,3154,0
10/05/2025 11:00,4664,471,0,521,4714,0
10/05/2025 12:00,4938,466,1025,0,3447,0
10/05/2025 13:00,4543,4542,0,177,178,0
10/05/2025 14:00,3275,3402,0,177,50,0
10/05/2025 15:00,1664,1139,466,0,59,0
10/05/2025 16:00,727,604,734,0,0,611
10/05/2025 17:00,187,1103,168,0,0,1084
10/05/2025 18:00,9,1585,0,3,0,1573
10/05/2025 19:00,0,1055,0,2,0,1053
